rank	candidate	layer	stage	candidate_full_shape	reference_full_shape	candidate_dtype	reference_dtype	exact	different_elements	elements	reference_norm	difference_norm	zero_reference_status	rel_l2	max_abs	candidate_nonfinite	reference_nonfinite
0	diagnostic-B2	3	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4087	5120	16.937992095947266	0.14676770567893982	not_zero	0.008665000246047863	0.009765625	0	0
0	diagnostic-B2	3	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4228	5120	1.4959101676940918	0.012855172157287598	not_zero	0.008593545544986519	0.00091552734375	0	0
0	diagnostic-B2	3	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4228	5120	1.4959101676940918	0.012855172157287598	not_zero	0.008593545544986519	0.00091552734375	0	0
0	diagnostic-B2	3	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	3796	5120	29.565189361572266	0.22743795812129974	not_zero	0.007692761759101572	0.015625	0	0
0	diagnostic-B2	3	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	3957	5120	17.3911075592041	0.14121145009994507	not_zero	0.008119750258528536	0.01171875	0	0
0	diagnostic-B2	3	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4120	5120	11.72196102142334	0.09736881405115128	not_zero	0.00830652941715108	0.0078125	0	0
0	diagnostic-B2	3	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4120	5120	11.72196102142334	0.09736881405115128	not_zero	0.00830652941715108	0.0078125	0	0
0	diagnostic-B2	3	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4469	5120	5.971574306488037	0.09054368734359741	not_zero	0.015162448409161196	0.004150390625	0	0
0	diagnostic-B2	4	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4469	5120	5.971574306488037	0.09054368734359741	not_zero	0.015162448409161196	0.004150390625	0	0
0	diagnostic-B2	4	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4089	5120	19.116352081298828	0.17010058462619781	not_zero	0.008898171779991648	0.009765625	0	0
0	diagnostic-B2	4	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4197	5120	1.5449882745742798	0.013835014775395393	not_zero	0.008954770080185638	0.0009765625	0	0
0	diagnostic-B2	4	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4197	5120	1.5449882745742798	0.013835014775395393	not_zero	0.008954770080185638	0.0009765625	0	0
0	diagnostic-B2	4	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	3933	5120	31.927892684936523	0.2779444456100464	not_zero	0.008705380225146511	0.015625	0	0
0	diagnostic-B2	4	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4097	5120	23.699920654296875	0.20481276512145996	not_zero	0.008641917756139268	0.01171875	0	0
0	diagnostic-B2	4	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4191	5120	12.438974380493164	0.11090630292892456	not_zero	0.008916032748073519	0.00634765625	0	0
0	diagnostic-B2	4	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4191	5120	12.438974380493164	0.11090630292892456	not_zero	0.008916032748073519	0.00634765625	0	0
0	diagnostic-B2	4	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4546	5120	8.14199161529541	0.1319386065006256	not_zero	0.01620470920809694	0.0078125	0	0
0	diagnostic-B2	5	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4546	5120	8.14199161529541	0.1319386065006256	not_zero	0.01620470920809694	0.0078125	0	0
0	diagnostic-B2	5	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4266	5120	27.409902572631836	0.2942228317260742	not_zero	0.01073418013604503	0.015625	0	0
0	diagnostic-B2	5	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4325	5120	1.6721417903900146	0.0171222947537899	not_zero	0.010239738550997074	0.0009765625	0	0
0	diagnostic-B2	5	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4325	5120	1.6721417903900146	0.0171222947537899	not_zero	0.010239738550997074	0.0009765625	0	0
0	diagnostic-B2	5	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4268	5120	27.721786499023438	0.3433650732040405	not_zero	0.012386109142574066	0.01953125	0	0
0	diagnostic-B2	5	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4280	5120	28.066465377807617	0.28982824087142944	not_zero	0.0103264959434685	0.01953125	0	0
0	diagnostic-B2	5	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4318	5120	13.02416706085205	0.135903999209404	not_zero	0.010434755525971659	0.0078125	0	0
0	diagnostic-B2	5	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4318	5120	13.02416706085205	0.135903999209404	not_zero	0.010434755525971659	0.0078125	0	0
0	diagnostic-B2	5	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4541	5120	7.068871021270752	0.1171267032623291	not_zero	0.016569364883004124	0.0078125	0	0
0	diagnostic-B2	6	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4541	5120	7.068871021270752	0.1171267032623291	not_zero	0.016569364883004124	0.0078125	0	0
0	diagnostic-B2	6	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4297	5120	25.0979061126709	0.29587239027023315	not_zero	0.011788728069265482	0.0234375	0	0
0	diagnostic-B2	6	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4327	5120	1.6357624530792236	0.017941856756806374	not_zero	0.010968497732071009	0.0009765625	0	0
0	diagnostic-B2	6	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4327	5120	1.6357624530792236	0.017941856756806374	not_zero	0.010968497732071009	0.0009765625	0	0
0	diagnostic-B2	6	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4053	5120	33.20033264160156	0.3208478093147278	not_zero	0.009663993815311673	0.017578125	0	0
0	diagnostic-B2	6	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4239	5120	28.92302894592285	0.2982163727283478	not_zero	0.010310689564565332	0.015625	0	0
0	diagnostic-B2	6	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4257	5120	14.630702018737793	0.1507544368505478	not_zero	0.010303978350285172	0.0078125	0	0
0	diagnostic-B2	6	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4257	5120	14.630702018737793	0.1507544368505478	not_zero	0.010303978350285172	0.0078125	0	0
